timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769249178.4768033,MEDIUM,,,,1,6
1769249179.482581,MEDIUM,,,,2,6
1769249180.4842525,MEDIUM,,,,2,6
1769249181.4929338,MEDIUM,,,,2,6
1769249182.49549,MEDIUM,,,,2,6
1769249183.520214,MEDIUM,,,,2,6
1769249184.5255418,MEDIUM,,,,2,6
1769249185.550959,MEDIUM,,,,2,6
1769249186.572775,MEDIUM,,,,2,6
1769249187.573424,MEDIUM,,,,1,6
1769249188.5806983,MEDIUM,,,,2,6
1769249189.6050782,MEDIUM,,,,2,6
1769249190.608356,MEDIUM,,,,2,6
1769249191.6314886,MEDIUM,,,,2,6
1769249192.6331587,MEDIUM,,,,2,6
1769249193.6562803,MEDIUM,,,,2,6
1769249194.664534,MEDIUM,,,,2,6
1769249195.6668742,MEDIUM,,,,2,6
1769249196.667913,MEDIUM,,,,2,6
1769249197.6895554,MEDIUM,,,,2,6
1769249198.6932485,MEDIUM,,,,1,6
1769249199.7137141,MEDIUM,,,,1,6
1769249200.7194228,MEDIUM,,,,1,6
1769249201.719619,MEDIUM,,,,1,6
1769249202.7412083,MEDIUM,,,,0,6
1769249203.7421854,MEDIUM,,,,2,6
1769249204.7657719,MEDIUM,,,,2,6
1769249205.7693388,MEDIUM,,,,2,6
1769249206.7695148,MEDIUM,,,,2,6
1769249207.7899365,MEDIUM,,,,2,6
1769249208.813146,MEDIUM,,,,2,6
1769249209.836641,MEDIUM,,,,2,6
1769249210.8389482,MEDIUM,,,,2,6
1769249211.8627355,MEDIUM,,,,2,6
1769249212.881356,MEDIUM,,,,2,6
1769249213.905939,MEDIUM,,,,2,6
1769249214.9093893,MEDIUM,,,,2,6
1769249215.9103494,MEDIUM,,,,2,6
1769249216.9147582,MEDIUM,,,,2,6
1769249217.935144,MEDIUM,,,,2,6
1769249218.956792,MEDIUM,,,,2,6
1769249219.982818,MEDIUM,,,,2,6
1769249220.9849303,MEDIUM,,,,1,6
1769249222.003767,MEDIUM,,,,1,6
1769249223.0070486,MEDIUM,,,,1,6
1769249224.0312974,MEDIUM,,,,1,6
1769249225.0353148,MEDIUM,,,,2,6
1769249226.036194,MEDIUM,,,,2,6
1769249227.0402727,MEDIUM,,,,2,6
1769249228.0413885,MEDIUM,,,,2,6
1769249229.059194,MEDIUM,,,,2,6
1769249230.0635917,MEDIUM,,,,2,6
1769249231.0851436,MEDIUM,,,,2,6
1769249232.1065211,MEDIUM,,,,2,6
1769249233.1312156,MEDIUM,,,,2,6
1769249234.1348917,MEDIUM,,,,2,6
1769249235.1352131,MEDIUM,,,,2,6
1769249236.157551,MEDIUM,,,,2,6
1769249237.177437,MEDIUM,,,,2,6
1769249238.180854,MEDIUM,,,,2,6
1769249239.1856833,MEDIUM,,,,2,6
1769249240.188344,MEDIUM,,,,2,6
1769249241.209616,MEDIUM,,,,2,6
1769249242.2316747,MEDIUM,,,,2,6
1769249243.2343624,MEDIUM,,,,2,6
1769249244.2567198,MEDIUM,,,,2,6
1769249245.2821004,MEDIUM,,,,2,6
1769249246.304304,MEDIUM,,,,2,6
1769249247.321625,MEDIUM,,,,2,6
1769249248.3445463,MEDIUM,,,,2,6
1769249249.3639152,MEDIUM,,,,2,6
1769249250.3730154,MEDIUM,,,,2,6
1769249251.396512,MEDIUM,,,,2,6
1769249252.3982859,MEDIUM,,,,2,6
1769249253.4194417,MEDIUM,,,,2,6
1769249254.4416916,MEDIUM,,,,2,6
1769249255.4657989,MEDIUM,,,,2,6
1769249256.490972,MEDIUM,,,,2,6
1769249257.5111716,MEDIUM,,,,2,6
1769249258.535968,MEDIUM,,,,2,6
1769249259.5584967,MEDIUM,,,,2,6
1769249260.5823257,MEDIUM,,,,2,6
1769249261.6050537,MEDIUM,,,,2,6
